Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 128.0.0.0,,,2024-09-16 13:47:28,2024-09-16 13:48:34,1m - 5.736s,PASSED
,,,,,,,
Test Cases/Login_Page/Positive_Case/Login,Chrome 128.0.0.0,,,2024-09-16 13:47:28,2024-09-16 13:47:42,13.850s,PASSED
openBrowser(loginUrl),Chrome 128.0.0.0,Buka browser dan navigasi ke URL,,2024-09-16 13:47:29,2024-09-16 13:47:32,3.738s,PASSED
maximizeWindow(),Chrome 128.0.0.0,Maximize window browser,,2024-09-16 13:47:32,2024-09-16 13:47:33,0.079s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Label_Title""))",Chrome 128.0.0.0,Verifikasi Title Login terlihat,,2024-09-16 13:47:33,2024-09-16 13:47:34,1.584s,PASSED
"verifyElementVisible(findTestObject(""Login_Page/TextArea_Username""))",Chrome 128.0.0.0,Verifikasi Text Field username terlihat,,2024-09-16 13:47:34,2024-09-16 13:47:34,0.323s,PASSED
"verifyElementVisible(findTestObject(""Login_Page/TextArea_Password""))",Chrome 128.0.0.0,Verifikasi Text Field password terlihat,,2024-09-16 13:47:34,2024-09-16 13:47:35,0.337s,PASSED
"verifyElementVisible(findTestObject(""Login_Page/Button_Login""))",Chrome 128.0.0.0,Verifikasi Button login terlihat,,2024-09-16 13:47:35,2024-09-16 13:47:35,0.344s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 13:47:35,2024-09-16 13:47:35,0.370s,PASSED
"setText(findTestObject(""Login_Page/TextArea_Username""), userName)",Chrome 128.0.0.0,Input username pada field,,2024-09-16 13:47:35,2024-09-16 13:47:36,0.677s,PASSED
"username = getAttribute(findTestObject(""Login_Page/TextArea_Username""), ""value"")",Chrome 128.0.0.0,Get attribute value yang sudah diinput pada field,,2024-09-16 13:47:36,2024-09-16 13:47:37,0.349s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 13:47:37,2024-09-16 13:47:37,0.343s,PASSED
"pass = setText(findTestObject(""Login_Page/TextArea_Password""), password)",Chrome 128.0.0.0,Input password pada field,,2024-09-16 13:47:37,2024-09-16 13:47:38,0.651s,PASSED
"getAttribute(findTestObject(""Login_Page/TextArea_Password""), ""value"")",Chrome 128.0.0.0,Get attribute value yang sudah diinput pada field,,2024-09-16 13:47:38,2024-09-16 13:47:38,0.318s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 13:47:38,2024-09-16 13:47:38,0.352s,PASSED
"verifyElementClickable(findTestObject(""Login_Page/Button_Login""))",Chrome 128.0.0.0,Verifikasi button Login dapat diklik,,2024-09-16 13:47:38,2024-09-16 13:47:39,0.333s,PASSED
"click(findTestObject(""Login_Page/Button_Login""))",Chrome 128.0.0.0,Klik button Login,,2024-09-16 13:47:39,2024-09-16 13:47:39,0.387s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Label_TitleProducts""))",Chrome 128.0.0.0,Verifikasi title product pada product page tampil,,2024-09-16 13:47:39,2024-09-16 13:47:39,0.416s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 13:47:39,2024-09-16 13:47:40,0.641s,PASSED
Video,Chrome 128.0.0.0,,,2024-09-16 13:47:42,2024-09-16 13:47:42,0.000s,PASSED
,,,,,,,
Test Cases/Product_Page/Positive_Case/AddToCart_Products,Chrome 128.0.0.0,,,2024-09-16 13:47:42,2024-09-16 13:47:56,14.345s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Label_Title""))",Chrome 128.0.0.0,Verifikasi element Title Swag Labs terlihat,,2024-09-16 13:47:42,2024-09-16 13:47:43,0.321s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_Cart""))",Chrome 128.0.0.0,Verifikasi Element button Cart Terlihat,,2024-09-16 13:47:43,2024-09-16 13:47:43,0.326s,PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_Cart""))",Chrome 128.0.0.0,Verifikasi button Cart dapat diklik,,2024-09-16 13:47:43,2024-09-16 13:47:43,0.316s,PASSED
"verifyElementVisible(findTestObject(""Global_Header/Button_BurgerMenu""))",Chrome 128.0.0.0,Verifikasi Button Burger terlihat,,2024-09-16 13:47:43,2024-09-16 13:47:44,0.323s,PASSED
"verifyElementClickable(findTestObject(""Global_Header/Button_BurgerMenu""))",Chrome 128.0.0.0,Verifikasi Button Burger dapat diklik,,2024-09-16 13:47:44,2024-09-16 13:47:44,0.313s,PASSED
packaged.verifyproduct.verifyProductName(),Chrome 128.0.0.0,Verifikasi apakah nama product sesuai dengan product data di Excel,,2024-09-16 13:47:44,2024-09-16 13:47:47,3.353s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 13:47:47,2024-09-16 13:47:48,0.403s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Backpack""))",Chrome 128.0.0.0,Verifikasi button add to cart terlihat,,2024-09-16 13:47:48,2024-09-16 13:47:48,0.330s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Backpack""))",Chrome 128.0.0.0,Verifikasi button add to cart dapat diklik,,2024-09-16 13:47:48,2024-09-16 13:47:48,0.313s,PASSED
"click(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Backpack""))",Chrome 128.0.0.0,Klik button add to cart,,2024-09-16 13:47:48,2024-09-16 13:47:49,0.343s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_Remove_Sauce Labs Backpack""))",Chrome 128.0.0.0,Verifikasi button remove terlihat,,2024-09-16 13:47:49,2024-09-16 13:47:49,0.537s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_Remove_Sauce Labs Backpack""))",Chrome 128.0.0.0,Verifikasi button remove dapat diklik,,2024-09-16 13:47:49,2024-09-16 13:47:50,0.317s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 13:47:50,2024-09-16 13:47:50,0.378s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bike Light""))",Chrome 128.0.0.0,Verifikasi button add to cart terlihat,,2024-09-16 13:47:50,2024-09-16 13:47:50,0.327s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bike Light""))",Chrome 128.0.0.0,Verifikasi button add to cart dapat diklik,,2024-09-16 13:47:50,2024-09-16 13:47:51,0.331s,PASSED
"click(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bike Light""))",Chrome 128.0.0.0,Klik button add to cart,,2024-09-16 13:47:51,2024-09-16 13:47:51,0.376s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bike Light""))",Chrome 128.0.0.0,Verifikasi button remove terlihat,,2024-09-16 13:47:51,2024-09-16 13:47:51,0.450s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bike Light""))",Chrome 128.0.0.0,Verifikasi button remove dapat diklik,,2024-09-16 13:47:51,2024-09-16 13:47:52,0.314s,PASSED
takeScreenshot(),Chrome 128.0.0.0,Mengambil screenshot pada window,,2024-09-16 13:47:52,2024-09-16 13:47:52,0.364s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bolt T-Shirt""))",Chrome 128.0.0.0,Verifikasi button add to cart terlihat,,2024-09-16 13:47:52,2024-09-16 13:47:52,0.328s,PASSED
"verifyElementClickable(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bolt T-Shirt""))",Chrome 128.0.0.0,Verifikasi button add to cart dapat diklik,,2024-09-16 13:47:52,2024-09-16 13:47:53,0.318s,PASSED
"click(findTestObject(""Product_Page/Button_AddToCart_Sauce Labs Bolt T-Shirt""))",Chrome 128.0.0.0,Klik button add to cart,,2024-09-16 13:47:53,2024-09-16 13:47:53,0.342s,PASSED
"verifyElementVisible(findTestObject(""Product_Page/Button_Remove_Sauce Labs Bolt T-Shirt""))",Chrome 128.0.0.0,Verifikasi button remove terlihat,,2024-09-16 13:47:53,2024-09-16 13:47:54,0.540s,PASSED
