Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout_E2E,Chrome 127.0.0.0,,,2024-09-16 22:47:23,2024-09-16 22:48:44,"1m - 20,746s",PASSED
,,,,,,,
Test Cases/Login_Page/Positive_Case/Login,Chrome 127.0.0.0,,,2024-09-16 22:47:24,2024-09-16 22:47:42,"18,299s",PASSED
openBrowser(loginUrl),Chrome 127.0.0.0,Buka browser dan navigasi ke URL,,2024-09-16 22:47:24,2024-09-16 22:47:30,"6,122s",PASSED
maximizeWindow(),Chrome 127.0.0.0,Maximize window browser,,2024-09-16 22:47:30,2024-09-16 22:47:31,"0,200s",PASSED
"verifyElementVisible(findTestObject(""Global_Header/Label_Title""))",Chrome 127.0.0.0,Verifikasi Title Login terlihat,,2024-09-16 22:47:31,2024-09-16 22:47:32,"1,626s",PASSED
"verifyElementVisible(findTestObject(""Login_Page/TextArea_Username""))",Chrome 127.0.0.0,Verifikasi Text Field username terlihat,,2024-09-16 22:47:32,2024-09-16 22:47:33,"0,472s",PASSED
"verifyElementVisible(findTestObject(""Login_Page/TextArea_Password""))",Chrome 127.0.0.0,Verifikasi Text Field password terlihat,,2024-09-16 22:47:33,2024-09-16 22:47:33,"0,455s",PASSED
"verifyElementVisible(findTestObject(""Login_Page/Button_Login""))",Chrome 127.0.0.0,Verifikasi Button login terlihat,,2024-09-16 22:47:33,2024-09-16 22:47:34,"0,479s",PASSED
takeScreenshot(),Chrome 127.0.0.0,Mengambil screenshot pada window,,2024-09-16 22:47:34,2024-09-16 22:47:34,"0,518s",PASSED
"setText(findTestObject(""Login_Page/TextArea_Username""), userName)",Chrome 127.0.0.0,Input username pada field,,2024-09-16 22:47:34,2024-09-16 22:47:35,"0,876s",PASSED
"username = getAttribute(findTestObject(""Login_Page/TextArea_Username""), ""value"")",Chrome 127.0.0.0,Get attribute value yang sudah diinput pada field,,2024-09-16 22:47:35,2024-09-16 22:47:35,"0,419s",PASSED
takeScreenshot(),Chrome 127.0.0.0,Mengambil screenshot pada window,,2024-09-16 22:47:35,2024-09-16 22:47:36,"0,393s",PASSED
"pass = setText(findTestObject(""Login_Page/TextArea_Password""), password)",Chrome 127.0.0.0,Input password pada field,,2024-09-16 22:47:36,2024-09-16 22:47:37,"0,779s",PASSED
"getAttribute(findTestObject(""Login_Page/TextArea_Password""), ""value"")",Chrome 127.0.0.0,Get attribute value yang sudah diinput pada field,,2024-09-16 22:47:37,2024-09-16 22:47:37,"0,382s",PASSED
takeScreenshot(),Chrome 127.0.0.0,Mengambil screenshot pada window,,2024-09-16 22:47:37,2024-09-16 22:47:37,"0,421s",PASSED
